industry_hash_id	code_source	code_	description_	version_	start_date	end_date	created_by	create_date	modified_by	modified_date
84161c4c7fa11fd8f49cc36a4b322da2	NASIC	813211	Grantmaking Foundations 	current	2024-12-19		kds_adm	2024-12-19		
d3bedc75c18acbba7fc1ae8541081b86	NASIC	928120	International Affairs 	current	2024-12-19		kds_adm	2024-12-19		
6e76f605fb976254f9bcc125ef3b2d50	NASIC	928110	National Security 	current	2024-12-19		kds_adm	2024-12-19		
653cdf9da96ac75383a2e89683f942fb	NASIC	927110	Space Research and Technology 	current	2024-12-19		kds_adm	2024-12-19		
9a6a9e9d5830443f5cfec1c170c163e9	NASIC	926150	Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors 	current	2024-12-19		kds_adm	2024-12-19		
cfcb720942ecf6cd46355be8e033c932	NASIC	926140	Regulation of Agricultural Marketing and Commodities 	current	2024-12-19		kds_adm	2024-12-19		
c5f4f44e2b9d8a4996fa2667ccca5b0b	NASIC	926130	Regulation and Administration of Communications, Electric, Gas, and Other Utilities 	current	2024-12-19		kds_adm	2024-12-19		
c7721d657ffaa65cc86330082605cbc4	NASIC	926120	Regulation and Administration of Transportation Programs 	current	2024-12-19		kds_adm	2024-12-19		
2577c9b53fdba49850eb76f470888d47	NASIC	926110	Administration of General Economic Programs 	current	2024-12-19		kds_adm	2024-12-19		
0827c7360538fbd350d723b4bf0e13f9	NASIC	925120	Administration of Urban Planning and Community and Rural Development 	current	2024-12-19		kds_adm	2024-12-19		
d768858196976c5e40a11a69d3fe38b9	NASIC	925110	Administration of Housing Programs 	current	2024-12-19		kds_adm	2024-12-19		
7448e58745c9a93529888a32f55514b7	NASIC	924120	Administration of Conservation Programs 	current	2024-12-19		kds_adm	2024-12-19		
09d3479240e3f9c0d12a238cf5eb7caa	NASIC	924110	Administration of Air and Water Resource and Solid Waste Management Programs 	current	2024-12-19		kds_adm	2024-12-19		
6906b6593c705b00c03b5f2088981ee5	NASIC	923140	Administration of Veterans' Affairs 	current	2024-12-19		kds_adm	2024-12-19		
09c55826b14369a46d8735c3a37acf76	NASIC	923130	Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs) 	current	2024-12-19		kds_adm	2024-12-19		
6361d1ec692ba3bb115d57a3165527d4	NASIC	923120	Administration of Public Health Programs 	current	2024-12-19		kds_adm	2024-12-19		
e726d7e89e26466b4ef06aaef68a5960	NASIC	923110	Administration of Education Programs 	current	2024-12-19		kds_adm	2024-12-19		
bd5a80f0bae4362d252291c1c00e1aab	NASIC	922190	Other Justice, Public Order, and Safety Activities 	current	2024-12-19		kds_adm	2024-12-19		
da40a5a5f38591bc822bd7bbca502e72	NASIC	922160	Fire Protection 	current	2024-12-19		kds_adm	2024-12-19		
